Emapp,id,Produit,Code NFH,Famille,Ss-Famille,Gamme,Variante,Conditmt,Prix indicatif,Unite Energ.,Poids/Volume par piece,Calcium,Sodium,Proteines,Glucides,Lipides,kJ,kcal,dont acides gras satures,dont sucres,% de net
EMApp,1,Choux fleurs,10.10,Fruits_et_légumes,Légumes,surgelé,Brut,Kg,2 €,kg,1,23.80,8.92,2.46,2.21,0.31,118,28,0,0,1
EMApp,2,Sucre de canne blond,10.14,Epicerie,Epicerie,déshydraté,,kg,1.74 €,kg,1,134,0,1.90,96.70,0,1650,387,0,96,1
EMApp,3,Poule découpée en morceaux,10.07,Viandes_Poissons,Volaille,brut,morceaux,Kg,7.90 €,kg,1,13,78,30.40,0,11.90,957,229,2.92,0,0.70
EMApp,4,Sauté de canard ss os ss peau,10.07,Viandes_Poissons,Volaille,brut,sauté,sachet,7.89 €,kg,1,6.78,155,23.30,0,11.20,810,194,3.36,0,1
EMApp,5,Encornet,10.02,Surgelés,Surgelé poisson,surgelé,anneaux,Kg,2.37 €,kg,1,15.70,195,16.00,0.60,1.47,337,80,0,0,1
EMApp,6,Pois chiche,10.14,Epicerie,Epicerie,déshydraté,,kg,4.50 €,kg,1,41,154,8.86,21.10,1.09,588,139,0,0,1
EMApp,7,Melon,10.10,Fruits_et_légumes,Fruits,brut,,unité,1.40 €,kg,1,11.40,11.40,0.71,6.49,0.15,136,32,0.05,5.94,0.60
EMApp,8,Kiwi,10.10,Fruits_et_légumes,Fruits,brut,,unité,5.25 €,kg,1,26.60,3.10,1.10,9.37,0.73,243,58,0.03,9.10,0.90
EMApp,9,Chili poudre,10.14,Epicerie,Epicerie,déshydraté,,kg,0 €,kg,1,278,1010,12.26,54.66,16.76,1314,314,2.95,7.19,1
EMApp,10,Moutarde graine,10.14,Epicerie,Epicerie,appertisé,,kg,0 €,kg,1,266,13,26.08,36.24,28.09,2126,508,1.99,6.79,1
EMApp,11,Curcuma poudre,10.14,Epicerie,Epicerie,déshydraté,,,0 €,kg,1,168,27,9.68,44.40,3.25,1220,291,1.84,3.21,1
EMApp,12,Flocon d’avoine,10.14,Epicerie,Epicerie,déshydraté,,250g,3.50 €,kg,1,84.30,5.68,13.30,57.90,6.51,1550,367,1.13,0.97,1
EMApp,13,Huile de coco,10.14,Epicerie,Epicerie,déshydraté,Liquide,Litre,3.52 €,litre,1,0,0,0.00,0,100,3700,900,9.87,0,1
EMApp,14,Foie gras de canard,10.07,Viandes_Poissons,Charcuterie,cuit sous vide,bloc,kg,35 €,kg,1,0,514,6.88,2.19,50.10,2010,488,21.60,1.41,1
EMApp,15,Fressure,10.07,Viandes_Poissons,Charcuterie,brut,,Kg,4.82 €,kg,1,27.20,749,14.80,1.80,21.60,1100,266,11.50,0,1
EMApp,16,Citron confit,10.14,Epicerie,Epicerie,déshydraté,,bocal,10 €,kg,1,171,6,1.50,2.49,0.30,211,50.60,0.04,2.49,1
EMApp,17,Poulet-émincé,10.07,Viandes_Poissons,Volaille,cru sous vide,15-30g,Kg,7.50 €,kg,1,8,54.60,23.50,0.45,1.34,457,108,0.39,0.20,0.80
EMApp,18,Poulet-Sauté,10.07,Viandes_Poissons,Volaille,cru sous vide,60-80g,Kg,5.50 €,kg,1,11,81,20.00,0,3.17,457,108,0.76,0,0.80
EMApp,19,Poulet-Sauté,10.07,Viandes_Poissons,Volaille,cru sous vide,40-60g,Kg,5.50 €,kg,1,11,81,20.00,0,3.17,457,108,0.76,0,0.80
EMApp,20,Farine de blé,10.14,Epicerie,Epicerie,déshydraté,Type 65,2.5 kg,1 €,kg,1,25.30,2.50,12.60,68.70,0.85,1460,345,0,1.68,1
EMApp,21,Farine de blé,10.14,Epicerie,Epicerie,déshydraté,Type 80,2.5 kg,1 €,kg,1,25.40,2.72,9.95,73.20,1.18,1510,355,0.17,1.77,1
EMApp,22,Farine de blé,10.14,Epicerie,Epicerie,déshydraté,Type 55,2.5 kg,1 €,kg,1,19.50,1.97,11.40,71.50,1.15,1470,348,0.23,2.71,1
EMApp,23,Poisson-Saumon (cubes),10.02,Surgelés,Surgelé poisson,surgelé,cubes 20g,colis de 5kg,9.90 €,kg,1,11.20,47,19.90,0,11.30,756,181,0,0,0.90
EMApp,24,Persil,10.03,Surgelés,Surgelé légume,surgelé,haché,Kg,10 €,kg,1,190,90.70,3.00,4.57,0.84,194,47,0,0,0.50
EMApp,25,Fromage-Chèvre,10.12,BOF,Fromages affinés à pâte molle,brut,frais en dés,kg,5.60 €,kg,1,94,297,10.60,2.75,12.40,687,165,9.55,2.75,1
EMApp,26,Fromage-Emmental,10.12,BOF,Fromages affinés à pâte dure,brut,dés,kg,4.59 €,kg,1,971,277,28.20,0,28.30,1530,369,18.70,0,1
EMApp,27,Chips,10.14,Epicerie,Epicerie,déshydraté,,kg,4.50 €,kg,1,27.10,622,6.50,52.90,27,2030,487,4,1.09,1
